date,item,detail,evidence
2024 to 2025,"KEY FINDING: the recall loop was contained by shortening recalls, not reducing them","Recall inflow rose 73% (29,660 to 51,419 a year) while the recall STOCK rose 0.6% (12,579 to 12,657). The reconciliation is duration: implied mean time in custody per recall fell from 5.09 to 2.95 months, -42%. Achieved by shifting to fixed-term recalls, which are now 72% of all recalls (14-day 34.9%, 28-day 35.6%, 56-day 1.3%) against 27% standard determinate.",recall stock from projection actuals; inflow from OMSQ Table 5.Q.1; composition Table 5.Q.13
forward risk,The containment is fragile and threatens the headroom forecast,"Recall stock = inflow x duration. Duration has already been cut 42% and 72% of recalls are already fixed-term, so there is limited room to cut further. If the progression model raises licence population and inflow by 35% with duration held, recall stock rises about 4,430, which is close to the entire 4,500 of the release programme and more than twice current headroom of 2,094. Only if duration falls a further 15% does the increase stay under 2,000.","scenario table, src analysis"
model gap,The standing forecast has no recall feedback,"headroom_model_v2 treats the release tranches as pure one-off stock reductions. It contains no term for released prisoners returning on recall. Given the loop measured above, this is the most likely way the forecast fails, and the failure would be a systematic OPTIMISTIC bias appearing roughly one to two quarters after each tranche.",src/headroom_model_v2.py
2026-03-31,MAJOR: 56-day fixed-term recall replaced the 14 and 28 day recalls,"OMSQ recall note 12: from 31 March 2026 a 56-day Fixed-Term Recall replaced the previous 14-day and 28-day fixed-term recalls for eligible offenders. This runs OPPOSITE to the duration-shortening that had been containing the recall population. On Q1 2026 volumes (4,599 at 14 days, 4,699 at 28 days) fixed-term recall days per quarter go from 195,958 to 520,688, a factor of 2.66, implying the fixed-term recall population rises from about 2,153 to 5,722, roughly +3,570 places. Current headroom is 2,094.","OMSQ licence-recall Jan-Mar 2026, Notes sheet note 12"
2026-04 to 2026-08,"The summer population rise is probably FTR56, not seasonality or demand","Population bottomed at 85,704 on 27 April 2026 and has risen steadily since, reaching 86,843 by 24 August (+1,139). The 56-day recall took effect 31 March, so the stock would build over roughly two months and show through from June. The +143/week trend used in the headroom projection is therefore a policy transition bedding in, not a trend to extrapolate. It should level off once the new recall stock reaches equilibrium.",weekly_grid.csv; recall note 12
2025-07,Recall composition series has a break; totals do not,"Recall note 11: fixed-term and standard determinate recall figures before July 2025 are not comparable with later figures, because some recalls were previously recorded as emergency without a fixed-term or standard designation and sat in an Other category. So the rise in the fixed-term SHARE is partly reclassification and the ""72% fixed-term"" figure must not be compared with earlier periods. The total recall counts in Tables 5.Q.1 and 5.Q.2 are unaffected, so the near-doubling of recall volume stands.",OMSQ licence-recall Notes sheet note 11
2023 to 2026,"Recall intensity per release rose 56%, and recalls now exceed releases","Recalls per 1,000 determinate releases in the same quarter: 565 mean across 2023 to Q1 2024, 882 mean across 2025 to Q1 2026, reaching 1,017 in Q1 2026. Releases rose only 12% while recalls rose 75%, so this is an intensity effect not a volume artefact. In Q1 2026 there were 13,193 recalls against 12,977 determinate releases: more people returned on recall than were released from determinate sentences.",outputs/releases_quarterly.csv and recalls_quarterly.csv
model correction needed,"Two corrections to the standing forecast, in opposite directions","First, the +143/week population slope is a transitional FTR56 effect and should decay, which makes the near-term outlook better than forecast. Second, the model has no recall feedback, and the FTR56 change alone implies up to +3,570 places still to arrive, which makes it worse. Net direction unclear until the FTR56 equilibrium is estimated. The forecast register lodged for 25 Sep 2026 onward should be treated as superseded pending that work.",outputs/forecast_register.csv
2011 to 2026,MAJOR CORRECTION: the population has a strong annual cycle and I was extrapolating it,"Week-of-year deviation from a 53-week centred mean, amplitude 859 people: trough week 1 (January, -407 by month), peak week 44 (November, +365). Monthly: Jan -407, Jun -257, Jul -55, Aug +183, Oct +340, Nov +365, Dec +13. The +143/week slope used in v1 and v2 was fitted over Apr-Aug, the fastest-rising part of the cycle, and extrapolated forward from late August, just before the peak. Roughly half the observed summer rise was seasonal.",outputs/seasonal_profile.csv
2026-04 to 2026-08,"Deseasonalised underlying trend is +19/week, not +143","Observed rise 20 Apr to 24 Aug 2026 was +770. Expected seasonal rise over the same weeks is +411. Residual +359 over 18 weeks = +19.1/week once deseasonalised. Fitted on only 19 weeks, so fragile, and it absorbs whatever the FTR56 change is contributing.",src/headroom_model_v3.py underlying_trend
2026-03-31,FTR56 hypothesis NOT supported by the shape of the rise,"A 56-day recall stock building from 31 March would saturate over about 8 weeks. The observed path is flat from late April to end June and then rises linearly from early July, 14 weeks after the change. A saturating curve fit fails to identify (tau diverges, degenerating to linear). So FTR56 may be contributing but it cannot be the main driver of the summer rise on timing grounds. The Apr-Jun 2026 OMSQ, due about 29 October, is the first release that can measure it directly.",curve_fit diagnostics; weekly_grid.csv
v3 projection,"Seasonal correction reverses the outlook, and the trend is now the dominant uncertainty","Central case (trend +19/wk, tranches as announced): headroom never enters the historical trigger band and rises to about 4,000 through 2027. But sensitivity is extreme: at +40/wk the band is entered Nov 2027, at +60/wk Sep 2027, at +100/wk Jun 2027, at +143/wk Sep 2026. The whole forecast now rests on a trend estimated from 19 weeks.",outputs/headroom_projection_v3.csv
2026-09,"Scoring the ""bust before Christmas"" claim under v3","With no releases and the fitted +19/wk trend, headroom at Christmas 2026 is 2,269 and never falls below 557. The claim requires an underlying trend of about +150/week to leave headroom near 557 by Christmas, and +200/week to exhaust it. That is 8 to 10 times the deseasonalised rate observed since April. Under v1 assumptions (+143/wk) the claim held; under v3 it does not. The earlier validation of the ministerial claim is withdrawn.","no-release counterfactual, headroom_model_v3"
2024 Q2,"CORRECTION: the recall surge began with ECSL, not SDS40","Filling the Oct-Dec 2024 edition gives the full quarterly series. Recalls jumped from 7,415 (Q1 2024) to 9,782 (Q2 2024), +32% in one quarter, then 9,975 and 10,401. SDS40 was September 2024, so the inflection precedes it. It coincides with ECSL extension to 60 days (March 2024) and 70 days (May 2024) and Operation Early Dawn (May 2024). Earlier attribution to SDS40 is withdrawn.","outputs/recalls_quarterly.csv, OMSQ Oct-Dec 2024 edition"
2015 to 2025,"Long-run: recalls per 100 releases rose from 29 to 66, and to about 85 in 2025","Annual series from OMSQ 2024 annual tables. Releases from custody fell 23% (74,443 to 57,277) while recalls rose 75% (21,467 to 37,573), then 48,327 in 2025 (+125% on 2015). The ratio of recalls to releases more than doubled. Fewer people leave, and a rising share of those who do come back.",outputs/longrun_releases_recalls.csv
2015 to 2024,"Long-run sentence length and time served, with a 2024 artefact","Mean sentence of those released: 18.4 to 25.2 months by 2023 (+37%), with 2024 at 30.0 inflated by the SDS40 cohort released that autumn. Time served 11.2 to 15.2 by 2023 (+36%). Proportion served held at 60 to 64% every year 2015 to 2023, then 55.5% in 2024. Nine years of stability then a five-point drop confirms the quarterly picture.",OMSQ releases annual tables 3.A.3 to 3.A.5
2011 to 2026,What sustainable footing has ever looked like: 10 weeks in 15 years,"In 817 weeks headroom exceeded 5,000 in 10 weeks, the last in February 2013, and never exceeded 7,000. It exceeded 3,000 in 16.5% of weeks and 2,000 in 56.8%. Longest unbroken run above 2,000: 77 weeks, ending September 2013. Occupancy has averaged 96 to 99% in every calendar year; it was under 95% in 25 weeks, the last in April 2020. The MoJ 2032 destination (supply 98,900, demand 95,900, headroom 3,000) is a level seen in one week in six since 2011.",outputs/headroom_history.csv
2026,2026 is the best year for headroom since 2013,"Mean headroom Jan to Aug 2026 is 2,927 with a minimum of 2,094, against 1,130 (min 557) in 2023, 1,831 in 2024 and 1,838 in 2025. The year the government describes as perma-crisis has had more headroom than any year since 2013. The Sentencing Act commencement in March did what it was meant to.",outputs/headroom_history.csv by year
CHECK,Early editions had no like-for-like benchmark; now sourced,"The 2008, 2009 and 2010 editions base years predate the weekly series, so the no-change benchmark was NaN for 16 of 75 targets and those rows were silently counted as naive losses and as wrong-direction calls. Base populations are now taken from the Population in Custody bulletins: 30 June 2008 83,194 (June 2009 bulletin, year-ago column), 30 June 2009 83,391 (June 2010 bulletin, revised), 30 June 2010 85,002. All 75 targets now have a benchmark computed on identical targets.",data/manual/base_actuals_pre2011.csv; raw/pic/
CORRECTION,"Direction accuracy is 63%, not 43%","The 43% figure in the first draft was depressed by the 16 targets with a NaN base, which returned sign(NaN) and were scored as wrong. Corrected: 63% overall, 53% at one and two years; projections called a rise in 73% of targets against 52% actual. ""Barely better than a coin toss at short horizons and biased toward growth"" replaces ""worse than a coin toss"".",outputs/scorecard_full.csv
CORRECTION,Table 1 and Table 2 were not like-for-like in the first draft,"Naive MAE was averaged over targets with a benchmark while MoJ MAE covered all targets. Recomputed on identical targets: naive MAE by horizon 1,666 / 2,275 / 3,222 / 3,595 / 2,630 / 2,439 against MoJ 2,429 / 3,923 / 3,616 / 5,115 / 4,778 / 3,780. Naive closer on 54 of 75 targets. Conclusion unchanged; numbers moved.",outputs/scorecard_table1.csv
CORRECTION,Table 3 row for 2008-2015 was misaligned by one column,"Values were transcribed from a fixed-width print where blank cells collapsed. The 2008 edition has no scoreable 1 or 2 year target (2009 and 2010 predate the series); its 3, 4 and 5 year errors are +3.0, +2.7, +5.7. The table is now generated programmatically and out-of-range cells are marked n/a.",outputs/scorecard_by_edition.csv
CONFIRMED,The no-change forecast wins in the pre-emergency-release era on identical targets,"2008 to 2014 editions: naive MAE 1,623 against MoJ 2,895, naive closer on 29 of 40 targets. These editions predate ECSL (2023), SDS40 (2024) and the progression model (2026). The conditional-projection defence cannot explain an overshoot that existed a decade before the policy responses it cites.",outputs/scorecard_table2.csv
ROBUSTNESS,Headline survives every cut; magnitude does not,"Excluding COVID targets: +3.2%, 82% too high, naive closer 72%. Excluding release-scheme targets: +3.2%, 82%, 71%. Excluding both (normal years, n=56): +2.3%, 79%, 71%. Pre-2020 editions on normal years: +2.1%, 77%, 73%. Prisons-only outturn: +3.9%, 84%, 74%. Dropping five largest errors: +3.2%, 83%, 70%. Naive wins at every horizon under every cut. About 40% of the measured overshoot is the two shock periods; the structural overshoot is about +2%.",outputs/scorecard_full.csv cuts
ROBUSTNESS,Edition-level inference,"15/17 editions mean error > 0, sign test p=0.0012. 13/17 naive MAE < MoJ MAE, p=0.0245. Mean of edition means +4.23%, sd 3.62, t=4.81 on n=17. Editions share target years so even 17 overstates independence.",scorecard_full.csv grouped by edition
LIMITS,Two objections the data cannot settle,"(1) Regime dependence: the naive benchmark wins because the population was flat; it would have lost 1993-2012 when the MoJ method was built. (2) Capacity binding through non-release channels (remand, HDC, sentencing) could make pre-2020 overshoot constrained demand rather than error. Proportion served stable at 60-64% through 2015-2023 argues against a binding release constraint but does not rule out other channels.",note section Robustness
2025-08 to 2026-06,"THIRD ACT: remand has turned, down 14% from its peak","Monthly remand population (OMSQ Table 1.A.1) peaked at 17,947 in August 2025 and fell to 15,386 by June 2026, -2,561 (-14.3%). It fell in nine of the ten months. The Crown Court backlog has not cleared (trial dates being set for late 2028), so this is judicial discretion: courts bailing defendants they would previously have remanded because a two-year wait in custody untried is judged unfair. The PAC recommended in March 2025 that remand be brought back to 2019 levels (about 9,150), which it said would free 8,000 places; about a third of that has now happened.",outputs/remand_monthly.csv; Times 5 Sep 2026; PAC HC 348
CORRECTION,"The H1 2026 population fall was substantially remand, not the Sentencing Act","I attributed the spring 2026 fall to the Sentencing Act commencement. The monthly split shows April 2026: remand -663, sentenced -968, so both. But from December 2025 to June 2026 the sentenced population ROSE 1,404 while remand fell 1,242. The sustained decline is unconvicted prisoners leaving on bail, not sentenced prisoners leaving early. The earlier line that 2026 headroom shows the Act ""did what it was meant to"" is withdrawn as an attribution; the headroom figures themselves stand.",remand_monthly.csv Dec 2025 to Jun 2026
implication,A fourth policy-like lever in the headroom equation,"Headroom is now being moved by four discretionary levers, none of them demand: release tranches (down), FTR56 (up), planned maintenance (capacity down), and bail decisions (remand down, about -200 a month since August 2025). The bail lever is contested in real time: the Met Commissioner is warning that courts are failing to remand dangerous suspects. If that pressure succeeds, remand rises again. The headroom model contains none of this and should be read as a baseline that four policy switches sit on top of.",synthesis
implication,The scorecard remand finding is about to invert,"The 2020-onward editions under-projected remand by 2,862 on average. Remand is now falling at a pace that, if sustained, would make the 2025-2030 edition remand assumption too HIGH within its first year. The two offsetting errors (determinate high, remand low) that made gross error 1.9x net could become two errors in the same direction.",error_contribution_summary.csv vs remand_monthly.csv
data caveat,MoJ itself says remand data is weak,"HMCTS told the PAC that MoJ data relating to the remand population are not accurate enough for MoJ to draw insights from. The monthly series here is the published one and reconciles to the weekly totals, but time-on-remand and custody-time-limit breach data are acknowledged by MoJ to be unreliable. One in twenty remand prisoners had been held over two years (PAC, March 2025).","PAC HC 348, para 31"
2025 Q2 to 2026 Q1,"The remand fall is a transfer from one queue to another, not a resolution","Crown Court open for-trial cases rose from 64,388 to 67,419 (+3,031). Defendants in custody fell 1,124 (17,409 to 16,285; share 27% to 24%). Defendants on bail rose 4,098 (46,177 to 50,275). Bailed open cases are now 2.61x the Q4 2019 level and the mean time a bailed case has been open is 353 days, 2.12x 2019. The prison remand population fell because cases moved from the custody queue to the bail queue, which is longer and slower.","CCSQ Jan-Mar 2026, Table O2; outputs/crown_court_open_by_remand.csv"
knock-on,"STORED CUSTODY: the bail shift defers custody to 2027-28, it does not remove it","A remanded defendant has time on remand credited against sentence; many are released at sentencing having already served. A bailed defendant convicted in 2028 serves the full custodial portion from sentencing. For the 4,098 extra bailed open cases since Q2 2025, at 80% conviction, 50% custody rate, 22.3 month mean sentence and 40% served, about 14,600 prisoner-months (1,200 prisoner-years) of custody is deferred to when the trials happen. Range 700 to 1,800 prisoner-years on plausible assumptions. Offsets: acquittals avoid custody entirely, and case attrition over long delays reduces convictions. The counterfactual is the same custody earlier, so this is timing, but timing concentrated into the years the building programme is meant to relieve.",assumptions stated; CJS Q5_2b custody rates; OMSQ time served
framework,"Five institutions, no one controlling the total","Ministers set release points (down). HMPPS sets operated crowding, maintenance timing and recall length (both directions). The judiciary sets bail (down since Aug 2025) and sentence length (up, structurally). Police set charging and are now applying pressure on bail (up). Parliament sets sentencing law (up). The population is the net of five hands on five levers, each responding to the others, which is why it is flat and why no projection conditional on any one of them holds.",synthesis
2016 to 2026,"Sentencing dates ARE tracked, by MoJ, quarterly, and they have moved a long way","CCSQ Table T4: mean days from offence to completion at the Crown Court 480 (2019) to 712 (Q1 2026), +48%; pre-court (offence to charge) 327 to 421, at-court 154 to 266. Table C8: mean wait from sending to trial start, defendants on bail 21.7 weeks (2019) to 44.1 (Q1 2026), doubled; defendants in custody 15.7 to 22.9. Table O2: mean time a bailed open case has been waiting 167 to 353 days. Tracked by the Commons Library (CBP-8372), NAO (2024), PAC (2025) and the Leveson review. What is not usually quoted is the split by remand status, and nobody links it to prison composition.","outputs/crown_court_open_by_remand.csv; CCSQ Tables C8, O2, T4"
composite,NEW COMPOSITE: people active in a criminal justice process,"Prison population + supervision in the community (court orders and post-release licence, from probation caseload) + defendants on bail awaiting Crown Court trial. Pre-release supervision excluded to avoid counting prisoners twice; magistrates open cases excluded (mostly non-custodial and dominated by non-attendance). Dec 2019: 82,868 + 172,110 + 19,261 = 274,239. Mar 2026: 87,342 + 179,300 + 50,275 = 316,917. Up 42,678 (+15.6%) while prison rose 5.4%. Bail accounts for 73% of the increase. Prison is 27.6% of the total. US analogue: BJS ""correctional populations"" (prison + jail + probation + parole); no E&W equivalent is published.",outputs/active_in_process_composite.csv
caveat,Composite caveats,"Probation caseload has a series break at 31 March 2026 (note 49), so part of the +12,000 in community supervision between Mar 2025 and Mar 2026 may be definitional. A person can be on a court order and on licence simultaneously; the community figure is the deduplicated MoJ total. Crown Court bail counts cases not people (a defendant can have more than one case). Magistrates court open cases (about 300,000) are excluded and would roughly double the total if included, but most carry no custody risk.","probation_q1_2026.ods note 49; CCSQ notes 15, 38"
PRIOR ART,Prison plus probation is an established measure; bail is not,"The Council of Europe SPACE I and II statistics compute a ""correctional rate"" (prison plus probation per 100,000) for every member state; McNeill and Beyens (2013) and McNeill (2018, Pervasive Punishment) built the ""mass supervision"" literature on it and cite E&W March 2013 prison 83,769 against 224,823 under community supervision. The US BJS publishes prison + jail + probation + parole annually since 1985. NONE of these include people released on bail awaiting trial. That component is the novel addition and it accounts for 73% of the E&W increase since 2019.",SPACE II; McNeill 2018; BJS Correctional Populations series
validation,The prison-plus-probation limb reproduces the SPACE rate,"E&W prison plus community supervision per 100,000 population: 416 in 2024 on this construction. McNeill cites Scotland at 548, described as 125% of E&W, implying E&W about 440. Consistent to within the definitional differences. The construction is therefore comparable with the international literature.",outputs/justice_held_population.csv
2007 to 2026,SHAPE: the US and E&W do not line up,"US total correctional population fell 26% from its 2007 peak (7.3m to 5.4m by 2022), driven by community supervision down 23%; the rate fell from 3,210 to 2,060 per 100,000 adults over fifteen consecutive years. E&W prison plus probation was flat: 251,274 (2015) to 252,947 (2024), +0.7%, with a 2017 peak and a Transforming Rehabilitation era decline. E&W justice-held with bail rose from 280,134 (2015) to 316,917 (Mar 2026), +13%. Bail share 7% (2019) to 16% (2026). Composition is similar (incarcerated about a third in both) but direction is opposite. E&W rate 660 per 100,000 adults, 1 in 151; US 2,100, 1 in 48.",outputs/fig_justice_held.png
assessment,Is the justice-held population the more interesting finding?,"As an organising frame, yes: it explains why the prison line is flat (displacement into buckets the state does not have to build for), unifies the substitution, the bail shift, the recall loop and the scorecard, and has a time series. As a publishable claim it is weaker than the scorecard: the bail limb counts cases not people, the probation series breaks in March 2026, and magistrates open cases are excluded by judgement. Recommended use: the frame of the working paper, with the scorecard as the evidence and the composite as the chart on page one.",synthesis
2026-03,March 2026 probation break: measured and fixable,"Note 49: a new data pipeline captures more cases from Q1 2026 onward, not backcast. Measured as the last quarterly change less the mean of the three prior quarterly changes: all supervision +7,707 (3.1% of level), of which pre-release +4,220 (excluded from the composite), all supervision in the community +3,623 (2.1%), court orders +2,502, post-release +1,263. Old-basis March 2026 community supervision is therefore about 175,677 against 179,300 published. Underlying growth before the break was about +2,181 a quarter, so the community limb was genuinely rising about 5% a year through 2025, consistent with more people on licence after early release.",outputs/probation_break_adjustment.csv
2019 to 2026,Magistrates custody-risk limb built from Table M1,"Open magistrates cases by class. Either-way plus indictable-only ""for trial"" cases are the custody-risk limb: 47,085 (Q4 2019) to 83,020 (Q1 2026), +76%, now above the COVID peak of 76,163. Summary motoring (185,690, mostly Single Justice Procedure) and summary non-motoring (85,624) excluded as carrying no realistic custody outcome. Breaches (16,388) excluded because those people are already in the probation limb.",outputs/magistrates_open_by_class.csv
2019 to 2026,"JUSTICE-HELD POPULATION v2: +23%, and 89% of the increase is people waiting for trial","Prison + community supervision (break-adjusted) + Crown Court bail + magistrates custody-risk cases. Dec 2019: 82,868 + 172,110 + 19,261 + 47,085 = 321,324. Mar 2026: 87,342 + 175,677 + 50,275 + 83,020 = 396,314. Up 74,990 (+23.3%). Of the increase: prison 6%, community 5%, Crown Court bail 41%, magistrates 48%. People awaiting trial with custody risk now number 133,295, 1.5 times the prison population. Prison is 22% of the total. One in 121 adults.",outputs/justice_held_population.csv
caveats v2,Remaining caveats on the composite,"(1) Bail and magistrates limbs count cases, not people. (2) A person can sit in two limbs, for example on licence and bailed for a new charge; the overlap is unquantified and would reduce the total. (3) Magistrates for-trial cases include a small number of defendants in custody who are also in the prison limb; custody time limits at magistrates are 56 days so the overlap is small. (4) The M1 series starts in 2019, so v2 has no pre-2019 history; v1 (without magistrates) runs from 2015 and shows the same direction.",CCSQ notes; construction
data gap,Time-to-recall distribution is not published,"No MoJ table gives recalls by time since release. Nearest proxies: HMI Probation 2018 found 37% of recalls were of people who had served under 12 months, whose licences are short, implying recall within months; HMI Prisons ""Recall, release, repeat"" (Nov 2025) describes the 14-day cycle qualitatively; HMI Probation recall thematic (2020). MoJ statisticians (Aug 2026) attribute the recall rise to early release putting more on licence and to fixed-term recalls allowing repeat recall of the same person. An FOI for recalls by weeks since release, by release type, would settle it and is the one number that would convert the register warning into a forecast term.",searches 5 Sep 2026; Inside Time Aug 2026
2021 edition,SCORECARD: the MoJ assumed the determinate recall rate would stay constant; it doubled,"Prison Population Projections 2021-2026, section on recall: ""The rate at which offenders from determinate sentences are recalled to prison is assumed to remain constant."" Recalls per 100 determinate releases rose from about 47 (2021) to 85 (2025). This is a specific, stated, falsified assumption and belongs in the scorecard note beside the determinate finding: the two components policy moved most were the two the projections held fixed.","Prison Population Projections 2021 to 2026, p.4; outputs/longrun_releases_recalls.csv"
prior art,Who discusses the underlying shape,"Components, yes: MoJ OMSQ bulletins report remand and recall as ""record highs"" every quarter with attributions (court recovery, longer sentences, more on licence); PRT Bromley Briefings track recalls and caseloads; PAC (2025) pressed on remand; HMI Prisons and Probation on recall practice; McNeill on mass supervision. ""Managed to a number"", partly: the Owers review (occupancy under 95% once in twelve years) and the Annual Statement describe capacity management explicitly. What nobody does is put the two together: treat the headline as a control variable and the composition as the outcome. Each component is reported as an isolated record; the substitution between them is not.",searches 5 Sep 2026
2026-09-05,Attribution and the methodology asset,"All deliverables now attributed to Walk Forward Research. The justice-held population methodology note v1.0 is written as the citable object: definition, exclusions, construction table, relationship to SPACE/BJS/McNeill, break adjustment, six numbered limitations, planned refinements, CC BY 4.0 licence, suggested citation with DOI placeholder. This is the document that carries priority; the series is credited to whoever wrote its definition and keeps publishing it.",outputs/justice_held_population_methodology_v1.md
